file1,file2,token_similarity,ast_similarity,status
assignment1_0021.py,assignment1_0019.py,0.06666666666666667,False,OK
assignment1_0021.py,assignment1_0006.py,0.09803921568627451,False,OK
assignment1_0021.py,assignment1_0002.py,0.06666666666666667,False,OK
assignment1_0021.py,assignment1_0017.py,0.1834862385321101,False,OK
assignment1_0021.py,assignment1_0023.py,0.08421052631578947,False,OK
assignment1_0021.py,assignment1_0011.py,0.043478260869565216,False,OK
assignment1_0021.py,assignment1_0022.py,0.11650485436893204,False,OK
assignment1_0021.py,assignment1_0004.py,0.08421052631578947,False,OK
assignment1_0018.py,assignment1_0013.py,0.14285714285714285,False,OK
assignment1_0018.py,assignment1_0012.py,0.0625,False,OK
assignment1_0018.py,assignment1_0016.py,0.15384615384615385,False,OK
assignment1_0018.py,assignment1_0007.py,0.1111111111111111,False,OK
assignment1_0018.py,assignment1_0025.py,0.11428571428571428,False,OK
assignment1_0018.py,assignment1_0010.py,0.2631578947368421,False,OK
assignment1_0018.py,assignment1_0003.py,0.11428571428571428,False,OK
assignment1_0018.py,assignment1_0008.py,0.16216216216216217,False,OK
assignment1_0018.py,assignment1_0009.py,0.15789473684210525,False,OK
assignment1_0018.py,assignment1_0015.py,0.18181818181818182,False,OK
assignment1_0018.py,assignment1_0014.py,0.0,False,OK
assignment1_0018.py,assignment1_0026.py,0.13043478260869565,False,OK
assignment1_0018.py,assignment1_0020.py,0.16216216216216217,False,OK
assignment1_0018.py,assignment1_0019.py,0.17647058823529413,False,OK
assignment1_0018.py,assignment1_0006.py,0.13043478260869565,False,OK
assignment1_0018.py,assignment1_0002.py,0.17647058823529413,False,OK
assignment1_0018.py,assignment1_0017.py,0.11320754716981132,False,OK
assignment1_0018.py,assignment1_0023.py,0.15384615384615385,False,OK
assignment1_0018.py,assignment1_0011.py,0.1111111111111111,False,OK
assignment1_0018.py,assignment1_0022.py,0.2978723404255319,False,OK
assignment1_0018.py,assignment1_0004.py,0.15384615384615385,False,OK
assignment1_0013.py,assignment1_0012.py,0.07142857142857142,False,OK
assignment1_0013.py,assignment1_0016.py,0.22857142857142856,False,OK
assignment1_0013.py,assignment1_0007.py,0.125,False,OK
assignment1_0013.py,assignment1_0025.py,0.12903225806451613,False,OK
assignment1_0013.py,assignment1_0010.py,0.058823529411764705,False,OK
assignment1_0013.py,assignment1_0003.py,0.12903225806451613,False,OK
assignment1_0013.py,assignment1_0008.py,0.18181818181818182,False,OK
assignment1_0013.py,assignment1_0009.py,0.23529411764705882,False,OK
assignment1_0013.py,assignment1_0015.py,0.20689655172413793,False,OK
assignment1_0013.py,assignment1_0014.py,0.0,False,OK
assignment1_0013.py,assignment1_0026.py,0.23809523809523808,False,OK
assignment1_0013.py,assignment1_0020.py,0.18181818181818182,False,OK
assignment1_0013.py,assignment1_0019.py,0.2,False,OK
assignment1_0013.py,assignment1_0006.py,0.23809523809523808,False,OK
assignment1_0013.py,assignment1_0002.py,0.2,False,OK
assignment1_0013.py,assignment1_0017.py,0.24489795918367346,False,OK
assignment1_0013.py,assignment1_0023.py,0.22857142857142856,False,OK
assignment1_0013.py,assignment1_0011.py,0.125,False,OK
assignment1_0013.py,assignment1_0022.py,0.23255813953488372,False,OK
assignment1_0013.py,assignment1_0004.py,0.22857142857142856,False,OK
assignment1_0012.py,assignment1_0016.py,0.16,False,OK
assignment1_0012.py,assignment1_0007.py,0.09090909090909091,False,OK
assignment1_0012.py,assignment1_0025.py,0.09523809523809523,False,OK
assignment1_0012.py,assignment1_0010.py,0.08333333333333333,False,OK
assignment1_0012.py,assignment1_0003.py,0.09523809523809523,False,OK
assignment1_0012.py,assignment1_0008.py,0.08695652173913043,False,OK
assignment1_0012.py,assignment1_0009.py,0.08333333333333333,False,OK
assignment1_0012.py,assignment1_0015.py,0.10526315789473684,False,OK
assignment1_0012.py,assignment1_0014.py,0.0,False,OK
assignment1_0012.py,assignment1_0026.py,0.0625,False,OK
assignment1_0012.py,assignment1_0020.py,0.08695652173913043,False,OK
assignment1_0012.py,assignment1_0019.py,0.1,False,OK
assignment1_0012.py,assignment1_0006.py,0.0625,False,OK
assignment1_0012.py,assignment1_0002.py,0.1,False,OK
assignment1_0012.py,assignment1_0017.py,0.10256410256410256,False,OK
assignment1_0012.py,assignment1_0023.py,0.16,False,OK
assignment1_0012.py,assignment1_0011.py,0.09090909090909091,False,OK
assignment1_0012.py,assignment1_0022.py,0.06060606060606061,False,OK
assignment1_0012.py,assignment1_0004.py,0.08,False,OK
assignment1_0016.py,assignment1_0007.py,0.13793103448275862,False,OK
assignment1_0016.py,assignment1_0025.py,0.14285714285714285,False,OK
assignment1_0016.py,assignment1_0010.py,0.06451612903225806,False,OK
assignment1_0016.py,assignment1_0003.py,0.14285714285714285,False,OK
assignment1_0016.py,assignment1_0008.py,0.2,False,OK
assignment1_0016.py,assignment1_0009.py,0.1935483870967742,False,OK
assignment1_0016.py,assignment1_0015.py,0.3076923076923077,False,OK
assignment1_0016.py,assignment1_0014.py,0.0,False,OK
assignment1_0016.py,assignment1_0026.py,0.20512820512820512,False,OK
assignment1_0016.py,assignment1_0020.py,0.2,False,OK
assignment1_0016.py,assignment1_0019.py,0.2222222222222222,False,OK
assignment1_0016.py,assignment1_0006.py,0.20512820512820512,False,OK
assignment1_0016.py,assignment1_0002.py,0.2222222222222222,False,OK
assignment1_0016.py,assignment1_0017.py,0.4782608695652174,False,OK
assignment1_0016.py,assignment1_0023.py,1.0,True,PLAGIARIZED
assignment1_0016.py,assignment1_0011.py,0.13793103448275862,False,OK
assignment1_0016.py,assignment1_0022.py,0.3,False,OK
assignment1_0016.py,assignment1_0004.py,0.25,False,OK
assignment1_0007.py,assignment1_0025.py,0.16,False,OK
